code,name,fund_type,规模(亿),window,strategy,annualized_return_pct,max_drawdown_pct,sharpe_ratio,win_rate_pct,total_return_pct,vs_lump_sum_pct,score
501046,财通多策略福鑫定开混合,混合型-灵活,3.35,0.25y,价值平均法,148.67,6.46,4.96,100.0,57.69,-15.31,77.5
006502,财通集成电路产业股票A,股票型,5.05,0.25y,价值平均法,140.64,6.27,4.947,100.0,55.13,-14.53,74.63
004320,前海开源沪港深乐享生活,混合型-灵活,10.57,0.25y,价值平均法,143.82,8.13,4.711,100.0,56.15,-11.94,74.46
018816,方正富邦核心优势混合C,混合型-偏股,5.54,0.25y,价值平均法,160.3,16.79,3.619,66.7,61.34,6.01,74.33
006503,财通集成电路产业股票C,股票型,8.0,0.25y,价值平均法,139.93,6.28,4.93,100.0,54.9,-14.45,74.31
001480,财通成长优选混合A,混合型-灵活,21.89,0.25y,价值平均法,136.69,6.23,4.879,100.0,53.85,-14.96,72.93
021528,财通成长优选混合C,混合型-灵活,11.17,0.25y,价值平均法,136.34,6.24,4.875,100.0,53.73,-14.87,72.79
014915,财通匠心优选一年持有混合A,混合型-偏股,2.43,0.25y,价值平均法,143.09,6.44,4.931,66.7,55.92,-14.65,72.06
001986,前海开源人工智能主题混合A,混合型-灵活,5.48,0.25y,价值平均法,133.24,8.98,4.249,66.7,52.72,-5.9,66.3
720001,财通价值动量混合A,混合型-灵活,27.22,0.25y,价值平均法,106.25,5.19,4.723,100.0,43.61,-14.08,61.68
002692,富国创新科技混合A,混合型-偏股,45.78,0.25y,价值平均法,106.71,6.16,4.711,100.0,43.77,-17.0,60.89
002770,安信新回报混合A,混合型-灵活,2.03,0.25y,价值平均法,119.31,11.0,4.306,66.7,48.09,-4.76,60.89
011120,富国创新科技混合C,混合型-偏股,32.83,0.25y,价值平均法,106.34,6.19,4.698,100.0,43.65,-16.94,60.7
001170,宏利复兴混合A,混合型-灵活,13.02,0.25y,价值平均法,103.18,6.58,4.524,100.0,42.54,-12.03,59.36
017612,宏利复兴混合C,混合型-灵活,18.61,0.25y,价值平均法,103.02,6.57,4.521,100.0,42.48,-11.98,59.3
016558,安信洞见成长混合A,混合型-偏股,3.83,0.25y,价值平均法,115.69,11.65,4.149,66.7,46.86,-4.59,59.06
005825,申万菱信智能驱动股票A,股票型,3.91,0.25y,价值平均法,114.98,10.3,4.044,66.7,46.62,-3.12,58.94
015159,申万菱信智能驱动股票C,股票型,12.82,0.25y,价值平均法,114.7,10.32,4.035,66.7,46.53,-3.08,58.82
001184,易方达新常态灵活配置混合,混合型-灵活,28.84,0.25y,价值平均法,105.49,6.41,5.004,66.7,43.35,-11.97,58.2
021523,财通价值动量混合C,混合型-灵活,4.2,0.25y,价值平均法,105.96,5.23,4.713,66.7,43.51,-14.04,58.19
001048,富国新兴产业股票A,股票型,66.66,0.25y,价值平均法,108.29,6.98,4.528,66.7,44.32,-8.15,58.18
011369,华商均衡成长混合A,混合型-偏股,26.39,0.25y,价值平均法,98.78,7.11,4.984,100.0,40.99,-18.55,57.96
015686,富国新兴产业股票C,股票型,20.43,0.25y,价值平均法,107.81,7.03,4.513,66.7,44.16,-8.09,57.95
011370,华商均衡成长混合C,混合型-偏股,43.04,0.25y,价值平均法,98.36,7.11,4.97,100.0,40.84,-18.47,57.77
162201,宏利成长混合,混合型-灵活,20.57,0.25y,价值平均法,99.2,6.62,4.38,100.0,41.14,-10.34,57.63
001437,易方达瑞享混合I,混合型-灵活,31.99,0.25y,价值平均法,101.03,7.41,4.11,100.0,41.78,-10.4,57.32
001198,东方惠新灵活配置混合A,混合型-灵活,2.26,0.25y,价值平均法,114.64,13.75,3.339,66.7,46.5,3.66,57.18
002163,东方惠新灵活配置混合C,混合型-灵活,2.64,0.25y,价值平均法,114.42,13.77,3.332,66.7,46.43,3.69,57.08
001753,红土创新新兴产业混合A,混合型-灵活,15.31,0.25y,价值平均法,104.66,6.17,4.54,66.7,43.06,-9.7,57.07
008326,东财通信A,指数型-股票,3.04,0.25y,价值平均法,102.73,6.44,4.665,66.7,42.38,-12.22,56.26
008327,东财通信C,指数型-股票,11.67,0.25y,价值平均法,102.54,6.45,4.658,66.7,42.32,-12.19,56.17
019830,华夏数字产业混合C,混合型-偏股,6.17,0.25y,价值平均法,104.58,6.54,4.215,66.7,43.03,-11.31,55.88
001956,国联安科技动力,股票型,6.8,0.25y,价值平均法,101.11,10.49,3.706,100.0,41.81,-8.09,55.77
001194,景顺长城稳健回报混合A,混合型-灵活,29.0,0.25y,价值平均法,94.65,6.83,4.307,100.0,39.52,-9.2,55.75
008734,交银科锐科技创新混合A,混合型-偏股,2.75,0.25y,价值平均法,104.67,9.59,4.132,66.7,43.06,-1.04,55.71
001407,景顺长城稳健回报混合C,混合型-灵活,24.22,0.25y,价值平均法,94.45,6.83,4.302,100.0,39.45,-9.2,55.66
000688,景顺长城研究精选股票A,股票型,19.9,0.25y,价值平均法,94.03,7.02,4.36,100.0,39.29,-8.93,55.59
257070,国联安优选行业混合,混合型-偏股,7.24,0.25y,价值平均法,105.86,8.25,3.726,66.7,43.48,-4.4,55.16
003853,金鹰信息产业股票A,股票型,5.15,0.25y,价值平均法,105.42,11.42,3.823,66.7,43.33,1.2,55.09
005885,金鹰信息产业股票C,股票型,3.67,0.25y,价值平均法,105.14,11.44,3.813,66.7,43.23,1.24,54.96
008382,融通产业趋势股票,股票型,3.56,0.25y,价值平均法,106.71,9.11,3.82,66.7,43.78,-10.55,54.86
005844,东方人工智能主题混合A,混合型-偏股,10.29,0.25y,价值平均法,109.76,15.91,3.299,66.7,44.83,0.43,54.76
002892,华夏移动互联混合美元现汇,QDII-混合灵活,6.69,0.25y,价值平均法,106.48,12.58,3.717,66.7,43.7,-2.35,54.69
002893,华夏移动互联混合美元现钞,QDII-混合灵活,6.69,0.25y,价值平均法,106.48,12.58,3.717,66.7,43.7,-2.35,54.69
000390,华商优势行业混合A,混合型-灵活,82.05,0.25y,价值平均法,90.19,6.3,4.678,100.0,37.91,-14.66,54.66
001877,宝盈国家安全沪港深股票A,股票型,5.26,0.25y,价值平均法,103.36,8.97,4.126,66.7,42.6,-8.06,54.66
017811,东方人工智能主题混合C,混合型-偏股,97.6,0.25y,价值平均法,109.49,15.93,3.29,66.7,44.74,0.47,54.64
005914,景顺长城智能生活混合A,混合型-偏股,6.81,0.25y,价值平均法,91.98,6.7,4.227,100.0,38.56,-9.57,54.55
013613,宝盈国家安全沪港深股票C,股票型,2.35,0.25y,价值平均法,102.94,9.0,4.112,66.7,42.46,-8.0,54.47
001075,宝盈转型动力混合A,混合型-灵活,13.21,0.25y,价值平均法,101.38,7.78,4.171,66.7,41.91,-7.86,54.4
015389,宝盈转型动力混合C,混合型-灵活,13.81,0.25y,价值平均法,101.03,7.8,4.158,66.7,41.79,-7.8,54.24
013389,华夏成长先锋一年持有混合A,混合型-偏股,5.86,0.25y,价值平均法,101.0,8.72,4.024,66.7,41.78,-2.52,54.14
005774,华夏产业升级混合A,混合型-偏股,2.41,0.25y,价值平均法,100.54,11.79,4.163,66.7,41.61,-0.3,53.94
001438,易方达瑞享混合E,混合型-灵活,24.93,0.25y,价值平均法,100.88,7.42,4.105,66.7,41.73,-10.38,53.92
014023,宏利景气领航两年持有混合,混合型-偏股,6.18,0.25y,价值平均法,93.46,8.23,4.07,100.0,39.09,-12.86,53.87
009867,工银创新精选一年定开混合A,混合型-偏股,3.43,0.25y,价值平均法,100.11,8.98,4.026,66.7,41.46,-2.18,53.78
016370,信澳业绩驱动混合A,混合型-偏股,8.76,0.25y,价值平均法,95.02,9.61,3.767,100.0,39.65,-12.06,53.45
016371,信澳业绩驱动混合C,混合型-偏股,28.5,0.25y,价值平均法,94.61,9.63,3.755,100.0,39.5,-12.0,53.27
513310,中韩半导体ETF华泰柏瑞,指数型-海外股票,52.15,0.25y,价值平均法,110.43,19.78,2.623,66.7,45.06,1.78,53.17
019829,华夏数字产业混合A,混合型-偏股,3.57,0.25y,价值平均法,105.02,6.52,4.228,33.3,43.19,-11.37,52.74
000697,汇添富移动互联股票A,股票型,26.24,0.25y,价值平均法,98.58,9.31,3.976,66.7,40.92,-5.28,52.7
570008,诺德周期策略混合,混合型-偏股,9.08,0.25y,价值平均法,99.64,8.48,3.783,66.7,41.29,-6.74,52.68
011815,恒越优势精选混合A,混合型-偏股,6.33,0.25y,价值平均法,96.75,10.12,4.122,66.7,40.27,-1.46,52.6
460007,华泰柏瑞行业领先混合,混合型-偏股,2.65,0.25y,价值平均法,88.69,7.08,4.09,100.0,37.36,-12.27,52.54
015199,汇添富移动互联股票D,股票型,3.58,0.25y,价值平均法,98.2,9.35,3.967,66.7,40.78,-5.25,52.53
015198,汇添富移动互联股票C,股票型,6.88,0.25y,价值平均法,98.14,9.36,3.96,66.7,40.76,-5.22,52.49
002891,华夏移动互联混合人民币,QDII-混合灵活,6.69,0.25y,价值平均法,101.19,12.61,3.593,66.7,41.84,-1.96,52.48
001521,国寿安保成长优选股票A,股票型,2.99,0.25y,价值平均法,95.52,13.28,4.536,66.7,39.83,-5.1,52.37
010020,华夏线上经济主题精选混合,混合型-偏股,11.64,0.25y,价值平均法,98.13,10.24,3.87,66.7,40.76,-3.44,52.26
519644,银河智联混合A,混合型-灵活,3.71,0.25y,价值平均法,98.88,9.69,3.742,66.7,41.02,-4.6,52.21
017730,嘉实全球产业升级股票发起式(QDII)A,QDII-普通股票,9.22,0.25y,价值平均法,91.82,8.1,4.48,66.7,38.5,-1.47,52.13
011891,易方达先锋成长混合A,混合型-偏股,20.9,0.25y,价值平均法,98.38,8.07,3.871,66.7,40.85,-12.13,52.0
018998,景顺长城研究精选股票C,股票型,18.49,0.25y,价值平均法,93.48,7.09,4.342,66.7,39.1,-8.9,51.99
009491,宝盈创新驱动股票A,股票型,7.46,0.25y,价值平均法,96.33,7.88,3.92,66.7,40.12,-6.68,51.96
017102,大摩数字经济混合A,混合型-偏股,46.08,0.25y,价值平均法,97.31,10.16,3.97,66.7,40.47,-6.28,51.94
017731,嘉实全球产业升级股票发起式(QDII)C,QDII-普通股票,11.5,0.25y,价值平均法,91.39,8.14,4.462,66.7,38.34,-1.42,51.91
009644,东方阿尔法优势产业混合A,混合型-偏股,13.11,0.25y,价值平均法,97.94,8.81,3.807,66.7,40.69,-7.94,51.9
