code,strategy,total_invested,final_value,total_return_pct,annualized_return_pct,max_drawdown_pct,sharpe_ratio,win_rate_pct,calmar_ratio,lump_sum_return_pct,vs_lump_sum_pct,years,invest_count,window,score
159352,定期定额(月),12000.0,13632.99,13.61,14.11,8.66,1.776,100.0,1.63,34.55,-20.94,1.0,12,1y,17.61
159352,定期定额(周),12750.0,14513.55,13.83,14.01,4.18,1.776,96.1,3.347,34.55,-20.72,1.0,51,1y,17.55
159352,均线偏离法,11342.29,12941.4,14.1,14.62,8.66,1.776,100.0,1.689,34.55,-20.45,1.0,12,1y,17.85
159352,回撤加仓法,12000.0,13632.99,13.61,14.11,8.66,1.776,100.0,1.63,34.55,-20.94,1.0,12,1y,17.61
159352,止盈策略(20%),12000.0,13632.99,13.61,14.11,8.66,1.776,100.0,1.63,34.55,-20.94,1.0,12,1y,17.61
159352,MA停投法,12000.0,13632.99,13.61,14.11,8.66,1.776,100.0,1.63,34.55,-20.94,1.0,12,1y,17.61
159352,价值平均法,10900.89,12242.37,12.31,13.93,8.66,1.776,100.0,1.609,34.55,-22.25,0.9,11,1y,17.41
563360,定期定额(月),12000.0,13658.23,13.82,14.33,8.65,1.846,100.0,1.657,35.84,-22.02,1.0,12,1y,17.76
563360,定期定额(周),12750.0,14535.11,14.0,14.18,4.15,1.846,96.1,3.414,35.84,-21.84,1.0,51,1y,17.69
563360,均线偏离法,11339.22,12963.17,14.32,14.85,8.65,1.846,100.0,1.717,35.84,-21.52,1.0,12,1y,18.0
563360,回撤加仓法,12000.0,13658.23,13.82,14.33,8.65,1.846,100.0,1.657,35.84,-22.02,1.0,12,1y,17.76
563360,止盈策略(20%),12000.0,13658.23,13.82,14.33,8.65,1.846,100.0,1.657,35.84,-22.02,1.0,12,1y,17.76
563360,MA停投法,12000.0,13658.23,13.82,14.33,8.65,1.846,100.0,1.657,35.84,-22.02,1.0,12,1y,17.76
563360,价值平均法,10891.85,12242.83,12.4,14.04,8.65,1.846,100.0,1.623,35.84,-23.43,0.9,11,1y,17.51
159338,定期定额(月),12000.0,13666.37,13.89,14.4,8.65,1.856,100.0,1.665,36.11,-22.22,1.0,12,1y,17.79
159338,定期定额(周),12750.0,14543.47,14.07,14.24,4.17,1.856,96.1,3.417,36.11,-22.04,1.0,51,1y,17.71
159338,均线偏离法,11334.66,12966.29,14.4,14.93,8.65,1.856,100.0,1.726,36.11,-21.71,1.0,12,1y,18.04
159338,回撤加仓法,12000.0,13666.37,13.89,14.4,8.65,1.856,100.0,1.665,36.11,-22.22,1.0,12,1y,17.79
159338,止盈策略(20%),12000.0,13666.37,13.89,14.4,8.65,1.856,100.0,1.665,36.11,-22.22,1.0,12,1y,17.79
159338,MA停投法,12000.0,13666.37,13.89,14.4,8.65,1.856,100.0,1.665,36.11,-22.22,1.0,12,1y,17.79
159338,价值平均法,10888.05,12243.08,12.45,14.09,8.65,1.856,100.0,1.629,36.11,-23.66,0.9,11,1y,17.53
159326,定期定额(月),12000.0,17633.92,46.95,48.93,14.67,2.492,100.0,3.335,96.42,-49.47,1.0,12,1y,29.08
159326,定期定额(周),12750.0,18659.83,46.35,47.01,11.72,2.492,96.1,4.011,96.42,-50.07,1.0,51,1y,28.09
159326,均线偏离法,9640.87,14876.12,54.3,56.64,14.67,2.492,100.0,3.861,96.42,-42.11,1.0,12,1y,32.62
159326,回撤加仓法,12000.0,17633.92,46.95,48.93,14.67,2.492,100.0,3.335,96.42,-49.47,1.0,12,1y,29.08
159326,止盈策略(20%),12000.0,17633.92,46.95,48.93,14.67,2.492,100.0,3.335,96.42,-49.47,1.0,12,1y,29.08
159326,MA停投法,8000.0,13251.57,65.64,68.57,14.67,2.492,100.0,4.674,96.42,-30.77,1.0,8,1y,38.09
159326,价值平均法,8483.61,12662.0,49.25,56.84,14.67,2.492,100.0,3.875,96.42,-47.16,0.9,9,1y,32.18
512050,定期定额(月),12000.0,13665.44,13.88,14.39,8.67,1.851,100.0,1.66,35.99,-22.11,1.0,12,1y,17.79
512050,定期定额(周),12750.0,14542.28,14.06,14.23,4.17,1.851,94.1,3.415,35.99,-21.93,1.0,51,1y,17.51
512050,均线偏离法,11337.08,12967.99,14.39,14.92,8.67,1.851,100.0,1.72,35.99,-21.6,1.0,12,1y,18.03
512050,回撤加仓法,12000.0,13665.44,13.88,14.39,8.67,1.851,100.0,1.66,35.99,-22.11,1.0,12,1y,17.79
512050,止盈策略(20%),12000.0,13665.44,13.88,14.39,8.67,1.851,100.0,1.66,35.99,-22.11,1.0,12,1y,17.79
512050,MA停投法,12000.0,13665.44,13.88,14.39,8.67,1.851,100.0,1.66,35.99,-22.11,1.0,12,1y,17.79
512050,价值平均法,10884.91,12241.96,12.47,14.12,8.67,1.851,100.0,1.628,35.99,-23.52,0.9,11,1y,17.54
513750,定期定额(月),12000.0,11568.69,-3.59,-3.72,10.05,0.782,91.7,-0.37,20.38,-23.97,1.0,12,1y,7.35
513750,定期定额(周),12750.0,12269.73,-3.77,-3.81,6.44,0.782,82.4,-0.592,20.38,-24.14,1.0,51,1y,6.33
513750,均线偏离法,11975.48,11574.82,-3.35,-3.46,10.05,0.782,91.7,-0.344,20.38,-23.72,1.0,12,1y,7.47
513750,回撤加仓法,12000.0,11568.69,-3.59,-3.72,10.05,0.782,91.7,-0.37,20.38,-23.97,1.0,12,1y,7.35
513750,止盈策略(20%),12000.0,11568.69,-3.59,-3.72,10.05,0.782,91.7,-0.37,20.38,-23.97,1.0,12,1y,7.35
513750,MA停投法,12000.0,11568.69,-3.59,-3.72,10.05,0.782,91.7,-0.37,20.38,-23.97,1.0,12,1y,7.35
513750,价值平均法,12382.73,11776.96,-4.89,-5.48,10.05,0.782,81.8,-0.546,20.38,-25.27,0.9,11,1y,5.58
513750,定期定额(月),31000.0,41252.01,33.07,11.96,15.73,0.692,74.2,0.76,57.11,-24.04,2.5,31,3y,11.08
513750,定期定额(周),32750.0,43674.37,33.36,12.05,16.63,0.692,77.9,0.725,57.11,-23.75,2.5,131,3y,11.51
513750,均线偏离法,26866.55,36410.01,35.52,12.77,15.55,0.692,74.2,0.821,57.11,-21.59,2.5,31,3y,11.62
513750,回撤加仓法,31000.0,41252.01,33.07,11.96,15.73,0.692,74.2,0.76,57.11,-24.04,2.5,31,3y,11.08
