code,name,fund_type,estab_date,endnav_float,fund_company,规模(亿)
510300,沪深300ETF华泰柏瑞,指数型-股票,2012-05-04,199913855988.24,华泰柏瑞基金,1999.14
510310,沪深300ETF易方达,指数型-股票,2013-03-06,137174116424.38,易方达基金,1371.74
518880,黄金ETF华安,指数型-其他,2013-07-18,113815514176.68,华安基金,1138.16
159919,沪深300ETF嘉实,指数型-股票,2012-05-07,92802609324.22,嘉实基金,928.03
510330,沪深300ETF华夏,指数型-股票,2012-12-25,90217510553.87,华夏基金,902.18
510500,中证500ETF南方,指数型-股票,2013-02-06,72477175278.45,南方基金,724.77
588000,科创50ETF华夏,指数型-股票,2020-09-28,68547724213.77,华夏基金,685.48
510050,上证50ETF华夏,指数型-股票,2004-12-30,66731248686.19,华夏基金,667.31
159792,港股通互联网ETF富国,指数型-股票,2021-09-15,62028732720.74,富国基金,620.29
512880,证券ETF国泰,指数型-股票,2016-07-26,51626506114.33,国泰基金,516.27
159915,创业板ETF易方达,指数型-股票,2011-09-20,51030357977.64,易方达基金,510.3
513180,恒生科技ETF华夏,指数型-海外股票,2021-05-18,49796872044.45,华夏基金,497.97
159937,黄金ETF博时,指数型-其他,2014-08-13,47793561022.39,博时基金,477.94
513130,恒生科技ETF华泰柏瑞,指数型-海外股票,2021-05-24,47624289175.66,华泰柏瑞基金,476.24
159934,黄金ETF易方达,指数型-其他,2013-11-29,41832192491.18,易方达基金,418.32
518800,黄金ETF国泰,指数型-其他,2013-07-18,40386475438.16,国泰基金,403.86
513050,中概互联网ETF易方达,指数型-海外股票,2017-01-04,39732058241.07,易方达基金,397.32
588200,科创芯片ETF嘉实,指数型-股票,2022-09-30,38606545096.15,嘉实基金,386.07
563360,A500ETF华泰柏瑞,指数型-股票,2024-09-25,38189307918.25,华泰柏瑞基金,381.89
588080,科创50ETF易方达,指数型-股票,2020-09-28,37297575516.27,易方达基金,372.98
002611,博时黄金ETF联接C,指数型-其他,2016-05-27,36660013790.9,博时基金,366.6
159352,A500ETF南方,指数型-股票,2024-09-25,36543944135.87,南方基金,365.44
